CGI_ID,SPID,evalue,Description,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Column7
CGI_10000321,Q5SVS4,5E-60,Kidney mitochondrial carrier protein 1,CGI_10000321,522.4013442333,2.28497553465936,0.401231841078996,5.6949008047681,1.23443669432619E-08,9.00246988485795E-07
CGI_10000324,Q626H5,9E-07,Plexin-2,,,,,,,
CGI_10000325,O15031,1E-11,Plexin-B2,,,,,,,
CGI_10000327,O88281,6E-11,Multiple epidermal growth factor-like domains protein 6,,,,,,,
CGI_10000332,Q9Y490,3E-38,Talin-1,,,,,,,
CGI_10000333,Q96P70,2E-10,Importin-9,,,,,,,
CGI_10000338,O62640,3E-52,Putative inhibitor of apoptosis,,,,,,,
CGI_10000340,Q8BFQ6,2E-18,Disrupted in renal carcinoma protein 2 homolog,,,,,,,
CGI_10000349,Q801E2,5E-29,Actin-binding protein anillin,,,,,,,
CGI_10000350,O75382,7E-11,Tripartite motif-containing protein 3,,,,,,,
CGI_10000353,A4D161,4E-20,.,,,,,,,
CGI_10000354,Q8C790,4E-35,Uncharacterized protein C7orf46 homolog,,,,,,,
CGI_10000355,Q68EV6,6E-56,"39S ribosomal protein L28, mitochondrial",,,,,,,
CGI_10000359,Q9R0Q8,2E-13,C-type lectin domain family 4 member E,,,,,,,
CGI_10000360,Q8R1J1,3E-34,Transmembrane 6 superfamily member 2,,,,,,,
CGI_10000362,O75382,3E-06,Tripartite motif-containing protein 3,,,,,,,
CGI_10000369,P47897,3E-17,Glutamine--tRNA ligase,,,,,,,
CGI_10000370,P40631,6E-09,Micronuclear linker histone polyprotein,,,,,,,
CGI_10000371,Q924I2,2E-20,Mitogen-activated protein kinase kinase kinase kinase 3,,,,,,,
CGI_10000374,Q99996,1E-30,A-kinase anchor protein 9,,,,,,,
CGI_10000375,Q9I927,4E-19,Fucolectin-5,,,,,,,
CGI_10000378,Q6FY25,4E-09,Spindle pole body component 110,,,,,,,
CGI_10000380,A2BIG9,4E-25,.,CGI_10000380,40.9717259198286,-1.18803683229626,0.417562511845775,-2.84517119854634,0.00443875592856371,0.0288456481783021
CGI_10000381,Q5XGW6,2E-64,Charged multivesicular body protein 4b,CGI_10000381,396.049542612721,0.99480985432374,0.269815787788272,3.68699645961554,0.000226916512716097,0.00310653726901837
CGI_10000384,Q1HR24,5E-75,40S ribosomal protein S14,,,,,,,
CGI_10000389,P26652,3E-17,Metalloproteinase inhibitor 3,,,,,,,
CGI_10000391,Q14656,2E-29,Transmembrane protein 187,,,,,,,
CGI_10000392,D2GXS7,2E-06,Tripartite motif-containing protein 2,,,,,,,
CGI_10000401,Q8N0W4,1E-40,"Neuroligin-4, X-linked",,,,,,,
CGI_10000402,P15870,2E-19,Histone H1-delta,CGI_10000402,1207.15861590354,-1.80878398789055,0.432101484531826,-4.18601660174886,2.8389259322898E-05,0.000594438857874655
CGI_10000405,Q98TZ8,3E-97,Flotillin-2a,,,,,,,
CGI_10000407,Q80T91,2E-06,Multiple epidermal growth factor-like domains protein 11,,,,,,,
CGI_10000408,Q60648,4E-11,Ganglioside GM2 activator,CGI_10000408,243.177409971667,-2.42538172088118,0.486638481741759,-4.98394971191005,6.22992773662785E-07,2.57521581871815E-05
CGI_10000414,Q5UR67,4E-13,.,,,,,,,
CGI_10000416,Q19PY3,2E-44,tRNA-splicing ligase RtcB homolog,,,,,,,
CGI_10000417,Q12794,3E-12,Hyaluronidase-1,CGI_10000417,56.2279135354197,-1.12722050668239,0.350313901366133,-3.21774414970836,0.00129203012244887,0.011544943677833
CGI_10000418,Q6PBA8,1E-115,Meiosis-specific nuclear structural protein 1,,,,,,,
CGI_10000421,Q00341,6E-15,Vigilin,,,,,,,
CGI_10000423,Q2KID0,1E-66,Exosome complex component RRP4,,,,,,,
CGI_10000427,D2GXS7,3E-09,Tripartite motif-containing protein 2,,,,,,,
CGI_10000428,Q52KJ8,6E-41,Methionine-R-sulfoxide reductase B1,,,,,,,
CGI_10000430,Q4LDE5,2E-20,"Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1",,,,,,,
CGI_10000434,P10039,9E-32,Tenascin,,,,,,,
CGI_10000438,Q5XI06,2E-33,Histone acetyltransferase KAT8,,,,,,,
CGI_10000441,Q13887,4E-51,Krueppel-like factor 5,,,,,,,
CGI_10000446,Q5FVG1,2E-10,Probable G-protein coupled receptor 157,,,,,,,
CGI_10000453,Q9NXG6,1E-16,Transmembrane prolyl 4-hydroxylase,,,,,,,
CGI_10000454,Q9XWF4,8E-11,Protein IMPACT homolog,,,,,,,
CGI_10000455,Q32LQ0,6E-74,Glutamyl aminopeptidase,,,,,,,
CGI_10000456,A4FUY7,9E-49,Molybdopterin synthase catalytic subunit,,,,,,,
CGI_10000457,Q9BUI4,1E-62,DNA-directed RNA polymerase III subunit RPC3,,,,,,,
CGI_10000460,D2GXS7,3E-07,Tripartite motif-containing protein 2,,,,,,,
CGI_10000462,Q13310,8E-60,Polyadenylate-binding protein 4,,,,,,,
CGI_10000464,Q2EMV9,1E-11,Poly [ADP-ribose] polymerase 14,,,,,,,
CGI_10000466,O13148,3E-47,Ephrin type-A receptor 4a,,,,,,,
CGI_10000467,P34371,1E-08,BTB and MATH domain-containing protein 42,,,,,,,
CGI_10000468,Q5RKI3,1E-13,DNA polymerase lambda,,,,,,,
CGI_10000469,P0AFQ4,0,Inner membrane transport permease ybhS,,,,,,,
CGI_10000470,P0A9U1,0,Uncharacterized ABC transporter ATP-binding protein YbhF,,,,,,,
CGI_10000471,P75777,0,UPF0194 membrane protein ybhG,,,,,,,
CGI_10000472,Q93RV9,3E-14,Ectoine hydroxylase,,,,,,,
CGI_10000474,B0JZG0,2E-59,Solute carrier family 23 member 2,,,,,,,
CGI_10000475,Q9GKX6,1E-40,Aldose 1-epimerase,,,,,,,
CGI_10000478,Q93149,3E-25,Acetylcholine receptor subunit beta-type acr-3,,,,,,,
CGI_10000485,Q4R7X9,2E-38,Protein LMBR1L,,,,,,,
CGI_10000487,P48597,5E-102,Eukaryotic translation initiation factor 4E,,,,,,,
CGI_10000488,P26591,6E-34,Glutamate receptor,,,,,,,
CGI_10000493,P14543,2E-22,Nidogen-1,,,,,,,
CGI_10000494,Q3T0Z7,3E-88,Dihydropteridine reductase,,,,,,,
CGI_10000501,Q5XK91,4E-10,Fibrinogen C domain-containing protein 1-B,,,,,,,
CGI_10000503,Q96RW7,3E-53,Hemicentin-1,,,,,,,
CGI_10000506,Q923L3,3E-11,CUB and sushi domain-containing protein 1,,,,,,,
CGI_10000507,Q7ZWG9,1E-87,Sigma non-opioid intracellular receptor 1,,,,,,,
CGI_10000508,P98068,8E-16,Protein SpAN,,,,,,,
CGI_10000510,P71359,9E-13,ATP-dependent DNA helicase recQ,,,,,,,
CGI_10000522,P86410,8E-40,Ral GTPase-activating protein subunit beta,,,,,,,
CGI_10000523,Q6ZRF8,4E-11,RING finger protein 207,,,,,,,
CGI_10000528,O48709,1E-15,Phosphatidylinositol-4-phosphate 5-kinase 3,,,,,,,
CGI_10000534,Q9R0Y1,4E-07,Amiloride-sensitive cation channel 5,,,,,,,
CGI_10000535,A4IGL7,1E-07,Peroxidasin,,,,,,,
CGI_10000536,Q9CTN8,2E-22,Lipoma HMGIC fusion partner-like 3 protein,CGI_10000536,342.883457452403,1.10328782997092,0.298189557091088,3.69995462193166,0.000215638021607605,0.00299563471683336
CGI_10000537,Q9WVL6,2E-36,Exostosin-like 3,,,,,,,
CGI_10000540,Q9WVF7,5E-20,DNA polymerase epsilon catalytic subunit A,,,,,,,
CGI_10000541,Q9DBT5,1E-97,AMP deaminase 2,,,,,,,
CGI_10000545,P20771,4E-28,Uncharacterized protein in nthA 5'region,,,,,,,
CGI_10000546,Q9U8W7,3E-17,Techylectin-5B,,,,,,,
CGI_10000552,Q2KI56,5E-38,COP9 signalosome complex subunit 7b,,,,,,,
CGI_10000553,Q8K3K9,7E-09,GTPase IMAP family member 4,,,,,,,
CGI_10000555,P79955,6E-24,Carboxy-terminal kinesin 2,CGI_10000555,50.9938685345898,1.51130704244944,0.471435297665529,3.20575707829513,0.00134707657279072,0.0118518021404248
CGI_10000560,O13997,4E-12,Protein IMPACT homolog,,,,,,,
CGI_10000561,Q5TYP4,3E-20,Uncharacterized protein C1orf112 homolog,,,,,,,
CGI_10000562,A7RLE5,2E-41,Putative deoxyribonucleoside 5'-monophosphate N-glycosidase,,,,,,,
CGI_10000563,Q2VLG6,1E-27,Scavenger receptor cysteine-rich type 1 protein M130,,,,,,,
CGI_10000572,Q8K1A0,3E-78,Methyltransferase-like protein 5,,,,,,,
CGI_10000573,P54412,3E-43,Probable elongation factor 1-gamma,,,,,,,
CGI_10000576,Q8N0N3,2E-35,"Beta-1,3-glucan-binding protein",,,,,,,
CGI_10000577,Q8BPP0,2E-40,Zinc finger protein 436,,,,,,,
CGI_10000580,Q9ESN6,2E-06,Tripartite motif-containing protein 2,CGI_10000580,89.4693649848414,-1.19765413515027,0.356313634810424,-3.36123577136609,0.000775945590310493,0.00783616763191675
CGI_10000581,B3MTS8,2E-105,Transmembrane emp24 domain-containing protein eca,,,,,,,
CGI_10000585,P09661,6E-51,U2 small nuclear ribonucleoprotein A',CGI_10000585,23.3078848205551,-1.70071592546564,0.456490710194157,-3.72563096572608,0.000194827264655176,0.00275777633659504
CGI_10000588,Q6TH15,2E-43,Eukaryotic translation initiation factor 3 subunit D,,,,,,,
CGI_10000590,Q5BJP6,2E-174,"Ribosome-releasing factor 2, mitochondrial",CGI_10000590,43.7304237649256,-1.4526050773329,0.407055975520199,-3.56856345242578,0.000358943928900924,0.00441600035684396
CGI_10000591,Q71LX4,4E-69,Talin-2,,,,,,,
CGI_10000594,P97471,2E-40,Mothers against decapentaplegic homolog 4,,,,,,,
CGI_10000595,P30050,9E-82,60S ribosomal protein L12,,,,,,,
CGI_10000596,Q9VUL9,2E-29,Glycoprotein 3-alpha-L-fucosyltransferase A,,,,,,,
CGI_10000599,O75382,6E-07,Tripartite motif-containing protein 3,,,,,,,
CGI_10000602,Q964E3,1E-74,"Actin, cytoplasmic",CGI_10000602,1092.82260758844,-1.12984208181812,0.370714825960104,-3.04773913180293,0.00230569991875089,0.0176399379503957
CGI_10000604,P46531,9E-68,Neurogenic locus notch homolog protein 1,,,,,,,
CGI_10000605,B2RZC9,9E-43,Keratinocyte-associated protein 2,,,,,,,
CGI_10000606,O75382,2E-09,Tripartite motif-containing protein 3,,,,,,,
CGI_10000607,P24044,7E-09,Calmodulin,,,,,,,
CGI_10000609,Q3TLH4,5E-08,.,,,,,,,
CGI_10000610,A2A690,1E-124,Protein TANC2,CGI_10000610,57.1829180336896,1.25342976044923,0.417928050892684,2.99915202574207,0.00270732181750582,0.0199180791943849
CGI_10000611,Q9CPW4,3E-48,Actin-related protein 2/3 complex subunit 5,CGI_10000611,325.754059480799,-0.803534688502173,0.291674764144353,-2.75489959119156,0.00587101498342378,0.0353440261713961
CGI_10000613,D3ZQG6,2E-09,Tripartite motif-containing protein 2,,,,,,,
CGI_10000614,Q9UPM9,8E-30,B9 domain-containing protein 1,,,,,,,
CGI_10000615,Q9P0S9,9E-30,Transmembrane protein 14C,,,,,,,
CGI_10000619,Q6PFY8,5E-11,Tripartite motif-containing protein 45,,,,,,,
CGI_10000624,Q9WTK8,6E-85,Meiotic recombination protein SPO11,,,,,,,
CGI_10000626,Q9Y4E8,6E-18,Ubiquitin carboxyl-terminal hydrolase 15,,,,,,,
CGI_10000627,Q9JM13,2E-21,Rab5 GDP/GTP exchange factor,CGI_10000627,66.1115743604096,1.22622012153203,0.357978183564069,3.42540461355397,0.000613884450861915,0.00657389187956011
CGI_10000630,Q8BGV0,6E-80,"Probable asparagine--tRNA ligase, mitochondrial",,,,,,,
CGI_10000631,Q9H4G4,6E-09,Golgi-associated plant pathogenesis-related protein 1,,,,,,,
CGI_10000633,P61958,1E-40,Small ubiquitin-related modifier 2,,,,,,,
CGI_10000639,O95149,1E-88,Snurportin-1,,,,,,,
CGI_10000640,Q5BLE8,2E-64,"Putative all-trans-retinol 13,14-reductase",,,,,,,
CGI_10000643,P57756,8E-58,Ficolin-2,,,,,,,
CGI_10000645,Q58CW6,5E-17,Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8 protein homolog,,,,,,,
CGI_10000646,P40312,5E-19,Cytochrome b5,,,,,,,
CGI_10000649,Q4GZT3,5E-42,Polycystin-2,,,,,,,
CGI_10000654,Q2XVR6,6E-51,Sodium channel protein type 4 subunit alpha B,,,,,,,
CGI_10000658,Q6PFD7,2E-07,Nuclear apoptosis-inducing factor 1,,,,,,,
CGI_10000659,Q9DEE9,5E-09,Actin-related protein 6,,,,,,,
CGI_10000660,Q9GZN1,1E-24,Actin-related protein 6,,,,,,,
CGI_10000661,Q53G44,3E-45,Interferon-induced protein 44-like,,,,,,,
CGI_10000668,Q07553,3E-06,Guanylate cyclase 32E,,,,,,,
CGI_10000669,Q27245,3E-147,Putative aminopeptidase W07G4.4,,,,,,,
CGI_10000672,A0A8J8,6E-22,Angiopoietin-2,,,,,,,
CGI_10000673,Q7PR68,7E-86,Mediator of RNA polymerase II transcription subunit 7,,,,,,,
CGI_10000675,Q5EAW9,1E-24,Transcription initiation factor TFIID subunit 3,,,,,,,
CGI_10000676,Q5VWG9,5E-43,Transcription initiation factor TFIID subunit 3,,,,,,,
CGI_10000682,Q7TSQ8,2E-24,"Pyruvate dehydrogenase phosphatase regulatory subunit, mitochondrial",,,,,,,
